Artifact Kind,Schema Name,JSON Schema,Fused,Fused ClassNames,Fused ClassName CSS Tokens
property,domainIncludes,✅,✅,✅,✅
property,doorTime,✅,✅,✅,✅
property,dosageForm,✅,✅,✅,✅
property,doseSchedule,✅,✅,✅,✅
property,doseUnit,✅,✅,✅,✅
property,doseValue,✅,✅,✅,✅
property,downloadUrl,✅,✅,✅,✅
property,downPayment,✅,✅,✅,✅
property,downvoteCount,✅,✅,✅,✅
property,drug,✅,✅,✅,✅
property,drugClass,✅,✅,✅,✅
property,drugUnit,✅,✅,✅,✅
property,duns,✅,✅,✅,✅
property,duplicateTherapy,✅,✅,✅,✅
property,duration,✅,✅,✅,✅
property,durationOfWarranty,✅,✅,✅,✅
property,earlyPrepaymentPenalty,✅,✅,✅,✅
property,editEIDR,✅,✅,✅,✅
property,editor,✅,✅,✅,✅
property,educationalAlignment,✅,✅,✅,✅
property,educationalFramework,✅,✅,✅,✅
property,educationalLevel,✅,✅,✅,✅
property,educationalUse,✅,✅,✅,✅
property,educationRequirements,✅,✅,✅,✅
property,elevation,✅,✅,✅,✅
property,eligibleCustomerType,✅,✅,✅,✅
property,eligibleDuration,✅,✅,✅,✅
property,eligibleQuantity,✅,✅,✅,✅
property,eligibleRegion,✅,✅,✅,✅
property,eligibleTransactionVolume,✅,✅,✅,✅
property,email,✅,✅,✅,✅
property,embeddedTextCaption,✅,✅,✅,✅
property,embedUrl,✅,✅,✅,✅
property,employee,✅,✅,✅,✅
property,employees,✅,✅,✅,✅
property,encodesBioChemEntity,✅,✅,✅,✅
property,encodesCreativeWork,✅,✅,✅,✅
property,encoding,✅,✅,✅,✅
property,encodingFormat,✅,✅,✅,✅
property,encodings,✅,✅,✅,✅
property,encodingType,✅,✅,✅,✅
property,endDate,✅,✅,✅,✅
property,endOffset,✅,✅,✅,✅
property,endorsers,✅,✅,✅,✅
property,endTime,✅,✅,✅,✅
property,energyEfficiencyScaleMax,✅,✅,✅,✅
property,energyEfficiencyScaleMin,✅,✅,✅,✅
property,epidemiology,✅,✅,✅,✅
property,episode,✅,✅,✅,✅
property,episodeNumber,✅,✅,✅,✅
property,episodes,✅,✅,✅,✅
property,error,✅,✅,✅,✅
property,estimatedCost,✅,✅,✅,✅
property,estimatedSalary,✅,✅,✅,✅
property,ethicsPolicy,✅,✅,✅,✅
property,event,✅,✅,✅,✅
property,eventAttendanceMode,✅,✅,✅,✅
property,events,✅,✅,✅,✅
property,eventSchedule,✅,✅,✅,✅
property,eventStatus,✅,✅,✅,✅
property,evidenceLevel,✅,✅,✅,✅
property,evidenceOrigin,✅,✅,✅,✅
property,exampleOfWork,✅,✅,✅,✅
property,exceptDate,✅,✅,✅,✅
property,exifData,✅,✅,✅,✅
property,expectedPrognosis,✅,✅,✅,✅
property,expectsAcceptanceOf,✅,✅,✅,✅
property,experienceRequirements,✅,✅,✅,✅
property,expertConsiderations,✅,✅,✅,✅
property,expires,✅,✅,✅,✅
property,expressedIn,✅,✅,✅,✅
property,extendedAddress,✅,✅,✅,✅
property,familyName,✅,✅,✅,✅
property,fatContent,✅,✅,✅,✅
property,faxNumber,✅,✅,✅,✅
property,featureList,✅,✅,✅,✅
property,feesAndCommissionsSpecification,✅,✅,✅,✅
property,fiberContent,✅,✅,✅,✅
property,fileFormat,✅,✅,✅,✅
property,fileSize,✅,✅,✅,✅
property,firstAppearance,✅,✅,✅,✅
property,firstPerformance,✅,✅,✅,✅
property,floorLimit,✅,✅,✅,✅
property,follows,✅,✅,✅,✅
property,followup,✅,✅,✅,✅
property,foodWarning,✅,✅,✅,✅
property,founder,✅,✅,✅,✅
property,founders,✅,✅,✅,✅
property,foundingDate,✅,✅,✅,✅
property,foundingLocation,✅,✅,✅,✅
property,free,✅,✅,✅,✅
property,freeShippingThreshold,✅,✅,✅,✅
property,frequency,✅,✅,✅,✅
property,fulfillmentType,✅,✅,✅,✅
property,fundedItem,✅,✅,✅,✅
property,funder,✅,✅,✅,✅
property,funding,✅,✅,✅,✅
property,gender,✅,✅,✅,✅
property,genre,✅,✅,✅,✅
property,geo,✅,✅,✅,✅
property,geoContains,✅,✅,✅,✅
property,geoCoveredBy,✅,✅,✅,✅
property,geoCovers,✅,✅,✅,✅
property,geoCrosses,✅,✅,✅,✅
property,geoDisjoint,✅,✅,✅,✅
property,geoEquals,✅,✅,✅,✅
property,geographicArea,✅,✅,✅,✅
property,geoIntersects,✅,✅,✅,✅
property,geoOverlaps,✅,✅,✅,✅
property,geoTouches,✅,✅,✅,✅
property,geoWithin,✅,✅,✅,✅
property,givenName,✅,✅,✅,✅
property,globalLocationNumber,✅,✅,✅,✅
property,gracePeriod,✅,✅,✅,✅
property,gtin,✅,✅,✅,✅
property,gtin12,✅,✅,✅,✅
property,gtin13,✅,✅,✅,✅
property,gtin14,✅,✅,✅,✅
property,gtin8,✅,✅,✅,✅
property,guideline,✅,✅,✅,✅
property,guidelineDate,✅,✅,✅,✅
property,guidelineSubject,✅,✅,✅,✅
property,handlingTime,✅,✅,✅,✅
property,hasAdultConsideration,✅,✅,✅,✅
property,hasBioChemEntityPart,✅,✅,✅,✅
property,hasBioPolymerSequence,✅,✅,✅,✅
property,hasBroadcastChannel,✅,✅,✅,✅
property,hasCategoryCode,✅,✅,✅,✅
property,hasCertification,✅,✅,✅,✅
property,hasCredential,✅,✅,✅,✅
property,hasDefinedTerm,✅,✅,✅,✅
property,hasDriveThroughService,✅,✅,✅,✅
property,hasEnergyConsumptionDetails,✅,✅,✅,✅
property,hasEnergyEfficiencyCategory,✅,✅,✅,✅
property,hasGS1DigitalLink,✅,✅,✅,✅
property,hasMap,✅,✅,✅,✅
property,hasMeasurement,✅,✅,✅,✅
property,hasMemberProgram,✅,✅,✅,✅
property,hasMenuItem,✅,✅,✅,✅
property,hasMenuSection,✅,✅,✅,✅
property,hasMerchantReturnPolicy,✅,✅,✅,✅
property,hasMolecularFunction,✅,✅,✅,✅
property,hasOccupation,✅,✅,✅,✅
property,hasOfferCatalog,✅,✅,✅,✅
property,hasPart,✅,✅,✅,✅
property,hasParticipationOffer,✅,✅,✅,✅
property,hasPOS,✅,✅,✅,✅
property,hasRepresentation,✅,✅,✅,✅
property,hasShippingService,✅,✅,✅,✅
property,hasSponsorshipOffer,✅,✅,✅,✅
property,hasTierBenefit,✅,✅,✅,✅
property,hasTierRequirement,✅,✅,✅,✅
property,hasTiers,✅,✅,✅,✅
property,hasVariant,✅,✅,✅,✅
property,headline,✅,✅,✅,✅
property,healthCondition,✅,✅,✅,✅
property,healthPlanCoinsuranceOption,✅,✅,✅,✅
property,healthPlanCoinsuranceRate,✅,✅,✅,✅
property,healthPlanCopay,✅,✅,✅,✅
property,healthPlanCopayOption,✅,✅,✅,✅
property,healthPlanCostSharing,✅,✅,✅,✅
property,healthPlanDrugOption,✅,✅,✅,✅
property,healthPlanDrugTier,✅,✅,✅,✅
property,healthPlanId,✅,✅,✅,✅
property,healthPlanMarketingUrl,✅,✅,✅,✅
property,healthPlanNetworkId,✅,✅,✅,✅
property,healthPlanNetworkTier,✅,✅,✅,✅
property,healthPlanPharmacyCategory,✅,✅,✅,✅
property,height,✅,✅,✅,✅
property,highPrice,✅,✅,✅,✅
property,homeLocation,✅,✅,✅,✅
property,honorificPrefix,✅,✅,✅,✅
property,honorificSuffix,✅,✅,✅,✅
property,hostingOrganization,✅,✅,✅,✅
property,hoursAvailable,✅,✅,✅,✅
property,howPerformed,✅,✅,✅,✅
property,httpMethod,✅,✅,✅,✅
property,identifier,✅,✅,✅,✅
property,identifyingExam,✅,✅,✅,✅
property,identifyingTest,✅,✅,✅,✅
property,image,✅,✅,✅,✅
property,inAlbum,✅,✅,✅,✅
