id,label,subTypeOf,equivalentClass,subTypes,supersedes,supersededBy,isPartOf
https://schema.org/LowCalorieDiet,LowCalorieDiet,,,,,,
https://schema.org/LowFatDiet,LowFatDiet,,,,,,
https://schema.org/LowLactoseDiet,LowLactoseDiet,,,,,,
https://schema.org/LowSaltDiet,LowSaltDiet,,,,,,
https://schema.org/Lung,Lung,,,,,,
https://schema.org/LymphaticVessel,LymphaticVessel,https://schema.org/Vessel,,,,,
https://schema.org/MRI,MRI,,,,,,
https://schema.org/MSRP,MSRP,,,,,,https://pending.schema.org
https://schema.org/MadeToOrder,MadeToOrder,,,,,,
https://schema.org/Male,Male,,,,,,
https://schema.org/Manuscript,Manuscript,https://schema.org/CreativeWork,,,,,https://pending.schema.org
https://schema.org/Map,Map,https://schema.org/CreativeWork,,,,,
https://schema.org/MapCategoryType,MapCategoryType,https://schema.org/Enumeration,,,,,
https://schema.org/MarryAction,MarryAction,https://schema.org/InteractAction,,,,,
https://schema.org/Mass,Mass,https://schema.org/Quantity,,,,,
https://schema.org/MathSolver,MathSolver,https://schema.org/CreativeWork,,,,,https://pending.schema.org
https://schema.org/MaximumDoseSchedule,MaximumDoseSchedule,https://schema.org/DoseSchedule,,,,,
https://schema.org/MayTreatHealthAspect,MayTreatHealthAspect,,,,,,https://pending.schema.org
https://schema.org/MeasurementMethodEnum,MeasurementMethodEnum,https://schema.org/Enumeration,,,,,https://pending.schema.org
https://schema.org/MeasurementTypeEnumeration,MeasurementTypeEnumeration,https://schema.org/Enumeration,,"https://schema.org/BodyMeasurementTypeEnumeration, https://schema.org/WearableMeasurementTypeEnumeration",,,https://pending.schema.org
https://schema.org/MediaEnumeration,MediaEnumeration,https://schema.org/Enumeration,,https://schema.org/IPTCDigitalSourceEnumeration,,,https://pending.schema.org
https://schema.org/MediaGallery,MediaGallery,https://schema.org/CollectionPage,,"https://schema.org/ImageGallery, https://schema.org/VideoGallery",,,
https://schema.org/MediaManipulationRatingEnumeration,MediaManipulationRatingEnumeration,https://schema.org/Enumeration,,,,,https://pending.schema.org
https://schema.org/MediaObject,MediaObject,https://schema.org/CreativeWork,,"https://schema.org/3DModel, https://schema.org/AmpStory, https://schema.org/AudioObject, https://schema.org/DataDownload, https://schema.org/ImageObject, https://schema.org/LegislationObject, https://schema.org/MusicVideoObject, https://schema.org/TextObject, https://schema.org/VideoObject",,,
https://schema.org/MediaReview,MediaReview,https://schema.org/Review,,,,,https://pending.schema.org
https://schema.org/MediaReviewItem,MediaReviewItem,https://schema.org/CreativeWork,,,,,https://pending.schema.org
https://schema.org/MediaSubscription,MediaSubscription,https://schema.org/Intangible,,,,,
https://schema.org/MedicalAudience,MedicalAudience,"https://schema.org/Audience, https://schema.org/PeopleAudience",,https://schema.org/Patient,,,
https://schema.org/MedicalAudienceType,MedicalAudienceType,https://schema.org/MedicalEnumeration,,,,,
